Player,replication,avg_num_rounds,variance_rounds,sum_profits,mean_day_profits,variance_profits,,fibonacci mean day profit,,,fibonacci mean sum profits,
Moderate_Risk:Fibonacci,266,52,894.621,-1054,-35.133,32247.016,,,,,,
Moderate_Risk:Fibonacci,267,50.6,1109.214,-1512,-50.4,23317.559,,,,,,
Moderate_Risk:Fibonacci,268,47.633,930.861,-248,-8.267,81752.271,,,,,,
Moderate_Risk:Fibonacci,269,45.4,1082.524,-463,-15.433,32630.392,,,,,,
Moderate_Risk:Fibonacci,270,51.667,1167.885,-377,-12.567,26182.668,,,,,,
Moderate_Risk:Fibonacci,271,46.767,780.53,-2571,-85.7,3365.183,,,,,,
Moderate_Risk:Fibonacci,272,47.4,812.731,-2085,-69.5,15744.466,,,,,,
Moderate_Risk:Fibonacci,273,49.7,872.7,-1584,-52.8,12314.303,,,,,,
Moderate_Risk:Fibonacci,274,50.733,931.857,-915,-30.5,44809.017,,,,,,
Moderate_Risk:Fibonacci,275,48.933,1138.064,-735,-24.5,24405.293,,,,,,
Moderate_Risk:Fibonacci,276,42.767,982.047,-2152,-71.733,11591.72,,,,,,
Moderate_Risk:Fibonacci,277,45.4,921.283,-963,-32.1,25977.334,,,,,,
Moderate_Risk:Fibonacci,278,43.733,741.789,-2145,-71.5,11815.776,,,,,,
Moderate_Risk:Fibonacci,279,58.067,1014.271,-480,-16,48422.414,,,,,,
Moderate_Risk:Fibonacci,280,54.367,635.62,-1076,-35.867,31006.257,,,,,,
Moderate_Risk:Fibonacci,281,45.1,790.99,-2167,-72.233,7479.564,,,,,,
Moderate_Risk:Fibonacci,282,49.467,765.637,-2384,-79.467,6133.775,,,,,,
Moderate_Risk:Fibonacci,283,47,858.552,-1335,-44.5,21582.741,,,,,,
Moderate_Risk:Fibonacci,284,46.933,1071.926,-1076,-35.867,19334.878,,,,,,
Moderate_Risk:Fibonacci,285,50.067,1122.892,-129,-4.3,34970.631,,,,,,
Moderate_Risk:Fibonacci,286,46.4,776.938,-1192,-39.733,34722.064,,,,,,
Moderate_Risk:Fibonacci,287,45.7,871.321,-1353,-45.1,22440.645,,,,,,
Moderate_Risk:Fibonacci,288,48.233,984.185,-1321,-44.033,23221.895,,,,,,
Moderate_Risk:Fibonacci,289,54.8,1064.51,-1011,-33.7,46635.045,,,,,,
Moderate_Risk:Fibonacci,290,56.467,1125.637,246,8.2,43222.648,,,,,,
Moderate_Risk:Fibonacci,291,59.067,967.444,144,4.8,41303.959,,,,,,
Moderate_Risk:Fibonacci,292,46.833,941.799,-1185,-39.5,25902.121,,,,,,
